step	post	like	prior	mu1	mu2	gamma	pi	spa1	spa2	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
76500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.567727689014713	0.000184669193474	0.000047086367445	0.254976840257373	0.132720740957746	0.000000000000000	0.000000000000000	-3	5	-1	-1	-5	-4	8	12	1	6	8	4	-3	0	-6	-5	8	-4	1	-5	3	17	0	1	10	-1	6	4	4	9	1	-1	7	10	-1	9	-5	2	-2	2	2	4	9	0	3	2	-6	-2	12	7	5	-1	5	9	10	4	-5	6	8	4	-1	3	-4	12	-6	5	16	-2	5	-4	-6	-6	1	-2	10	7	-3	-1	-2	-5	-2	4	17	-6	-1	1	6	6	5	4	0	4	-6	-4	-2	-6	7	11	-4	8	-3	-4	7	0	-5	6	6	1	7	14	0	5	13	-4	2	-1	65	72	84	0	100	0	9	104	29	27	42	98	44	85	5	89	93	13	44	113	30	51	64	45	104	83	10	116	76	18	62	62	22	26	26	97	75	104	36	15	43	39	48	46	81	109	114	56	42	2	80	22	19	9	83	32	12	98	27	111	104	6	32	85	59	7	53	106	92	74	49	29	25	7	116	115	10	87	113	71	36	74	41	84	46	31	81	14	40	106	96	25	24	104	80	48	6	61	29	108	28	85	104	36	23	67	0	91	35	0	61	90	48	57	0	25	5	3	3	1	4	1	9	9	5	13	8	3	2	6	10	2	7	2	15	2	10	11	1	4	14	13	9	1	5	1	11	9	3	5	5	8	11	14	6	2	4	5	6	10	14	16	4	5	16	7	15	4	17	14	6	3	9	3	4	15	18	4	3	3	12	11	4	2	9	9	10	15	2	14	10	8	14	2	16	14	19	16	9	3	17	15	7	6	14	14	13	14	17	17	4	14	1	17	2	1	9	15	20	10	12	5	1	16	4	1	1	14	12	18	1	16
77000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.478450933202825	0.000182163237136	0.000056607236482	0.310750057869313	0.106924611692954	0.000000000000000	0.000000000000000	-3	-6	3	-2	-3	5	4	14	4	0	6	-3	-5	-6	-5	-3	2	-4	11	1	8	-6	2	1	2	-4	15	5	-5	10	9	4	4	-2	9	-6	2	7	9	-4	0	3	10	-2	13	1	-6	-3	-6	-1	10	2	-4	5	6	8	2	9	1	3	8	13	4	0	8	15	3	8	0	-5	5	-2	10	-1	3	7	1	19	17	6	-2	-1	5	6	4	-1	-1	14	-6	2	-2	-2	6	7	-3	3	-3	10	2	3	16	5	0	3	8	17	2	4	6	8	-3	14	3	0	20	0	92	32	82	0	78	0	76	64	83	100	87	50	42	38	33	105	50	43	4	87	114	85	74	13	42	21	106	33	3	95	81	102	105	52	37	52	82	107	34	4	78	11	102	107	75	26	58	105	13	113	71	18	107	74	85	78	37	116	58	70	21	79	102	86	85	112	83	52	67	60	98	112	110	5	104	11	102	53	9	19	61	99	22	114	48	111	34	101	7	59	83	52	113	68	24	105	103	38	14	51	60	92	12	13	26	27	0	74	25	0	59	49	89	26	0	32	2	4	1	1	8	1	8	5	11	13	5	3	1	9	1	11	3	4	15	3	5	11	6	7	2	13	8	11	12	3	3	8	12	2	6	6	4	14	4	2	5	8	9	5	14	16	6	1	16	12	15	9	17	14	8	11	2	13	13	15	18	11	7	7	12	8	9	9	12	7	11	15	3	14	2	11	14	14	16	14	19	16	10	5	17	15	4	2	11	9	6	14	17	17	6	14	2	17	1	5	8	15	20	12	10	6	1	2	8	1	7	14	7	18	1	16
77500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.519895439983041	0.000172245358877	0.000048491374353	0.281524998232047	0.115105715379409	0.000000000000000	0.000000000000000	-5	-6	3	3	7	7	3	-3	-3	10	-3	12	1	-4	-4	5	16	-2	-4	-3	2	-6	-5	-3	12	6	9	5	4	3	1	9	-4	-6	16	12	4	6	10	-3	5	5	-3	-1	6	4	4	10	9	1	11	-6	6	-1	-1	2	-6	5	20	-5	5	-6	5	-2	6	20	-5	0	4	5	11	-6	1	3	9	6	4	-4	3	-2	6	6	11	14	12	7	5	4	7	-2	-4	10	6	-2	4	9	3	0	6	5	0	3	-4	5	-2	-2	10	9	-1	23	-1	-2	-2	-3	21	3	31	4	113	0	57	0	9	100	104	4	93	76	43	11	101	59	27	87	38	83	39	31	93	97	102	88	87	54	85	51	68	32	45	69	58	3	82	102	98	60	101	51	78	76	5	17	2	21	28	10	18	98	100	65	54	90	103	98	73	96	95	91	74	69	34	79	116	22	58	54	93	46	46	56	23	92	15	99	103	9	47	110	50	23	78	95	37	59	111	36	51	85	21	70	9	101	13	71	107	90	85	24	33	47	19	86	0	66	53	0	111	41	25	88	0	84	1	5	4	1	1	1	2	7	9	5	7	6	7	6	3	9	6	8	15	8	2	9	1	1	11	2	10	5	5	11	6	14	9	2	2	1	4	12	6	10	5	1	6	11	14	16	12	4	16	12	15	7	17	14	10	5	4	13	13	15	18	7	5	12	9	9	13	11	6	12	13	15	11	10	1	13	14	9	11	14	19	16	6	2	17	15	1	11	12	6	8	14	17	17	10	13	14	17	10	4	4	15	20	9	11	9	1	11	2	1	4	14	9	18	1	14
78000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.425902025778376	0.000164774348256	0.000059808071672	0.362969553848607	0.117626028390174	0.000000000000000	0.000000000000000	2	0	-3	2	8	3	4	0	2	0	2	13	-4	1	11	3	-6	6	19	-1	6	5	8	4	-2	11	6	-5	11	4	3	16	0	2	7	10	-1	-1	14	7	4	4	0	-2	-4	0	3	8	2	7	-3	2	-4	-6	-3	-6	13	14	-3	-2	5	2	-1	6	11	5	8	1	-2	-1	3	-4	0	20	1	0	-2	2	-3	2	2	-4	5	2	5	-3	0	-2	12	-5	2	0	-2	0	2	15	-2	0	4	2	3	13	-1	-2	2	2	0	2	2	6	2	1	11	0	12	6	90	101	16	0	66	0	14	11	48	8	46	92	22	66	25	7	78	30	97	15	61	101	96	80	1	67	28	76	100	53	54	32	106	89	69	90	47	5	103	2	97	16	33	17	88	59	10	17	63	68	94	35	65	87	94	66	16	23	27	81	36	8	4	96	96	89	46	37	36	73	15	33	2	69	92	72	58	87	23	75	95	33	104	44	44	39	3	31	115	10	15	55	97	42	27	12	92	25	66	77	56	65	5	83	50	116	0	84	105	0	55	100	33	93	0	71	2	4	1	1	5	1	10	4	8	2	9	3	1	4	4	6	16	9	15	6	11	1	11	12	11	11	10	2	12	11	8	14	1	8	15	8	6	1	13	11	11	13	3	8	14	16	2	4	16	8	15	13	17	14	2	2	8	15	9	15	18	1	12	12	11	7	13	1	3	1	13	15	16	8	8	13	14	9	10	14	19	16	8	12	17	15	5	9	11	8	12	14	17	17	3	13	9	17	3	3	2	15	20	4	15	10	1	7	5	1	11	14	13	18	1	14
78500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.534962818390295	0.000194240311153	0.000052927607480	0.272485186858912	0.125838240614665	0.000000000000000	0.000000000000000	1	2	-3	0	-1	10	-1	3	3	15	-6	2	-3	14	-2	-6	4	7	4	10	5	9	-4	15	-2	1	-1	1	-1	-3	10	21	5	-3	-3	4	3	-1	6	13	21	-5	-3	19	0	11	14	-1	14	-3	15	3	-6	13	-5	7	-3	2	-5	-2	-3	-4	-5	-6	13	-3	-3	-6	-4	8	-5	6	6	-4	-4	3	-4	11	10	2	-4	8	11	-3	0	13	-1	10	10	2	-6	0	6	5	-3	-2	3	-6	-4	-5	-1	7	9	1	-3	12	3	1	-4	-3	1	6	-1	-2	36	-5	96	116	70	0	110	0	30	73	9	73	103	4	93	47	58	12	51	70	69	80	98	65	35	116	100	97	33	18	109	94	23	32	36	11	78	99	57	29	80	75	54	26	112	18	61	106	30	80	91	96	110	94	18	6	108	112	94	3	43	93	106	87	21	89	58	72	40	38	67	110	67	92	110	30	95	113	87	95	94	116	106	22	105	46	90	34	112	87	74	104	19	100	79	87	112	50	101	45	113	36	4	74	5	101	43	29	0	5	62	0	62	84	28	106	0	43	1	4	4	1	4	1	3	7	9	1	6	11	5	2	5	4	16	11	15	9	11	9	3	2	4	2	9	6	12	10	1	14	9	10	15	2	8	11	13	13	11	13	14	5	14	4	4	8	11	1	15	13	17	14	7	10	14	15	4	15	18	1	7	12	2	4	13	7	3	2	13	10	16	13	2	6	10	13	15	5	19	16	8	12	17	15	11	1	3	6	14	12	17	6	9	13	4	17	11	2	6	20	20	9	14	11	1	2	3	1	11	14	8	18	1	14
79000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.503649897229806	0.000187076083052	0.000054650276378	0.292128611455885	0.101235856188109	0.000000000000000	0.000000000000000	-2	14	-2	-2	-4	-1	11	-4	-1	12	-2	16	-6	4	-4	2	-6	-4	7	8	-4	3	-2	-4	16	11	-6	10	8	-6	4	0	0	2	5	-1	-1	0	6	11	6	6	1	1	9	2	-5	1	-3	6	13	-3	10	14	2	14	-3	3	6	-2	9	-4	5	5	3	2	-5	0	-4	17	-2	1	-2	-1	5	0	-1	2	16	-6	-4	5	0	2	0	-3	1	-4	14	-1	-5	0	-6	8	4	4	-2	2	-1	2	5	-5	-6	8	1	10	11	0	9	0	8	1	-5	5	31	-5	23	73	56	0	106	0	27	35	37	69	110	42	98	92	18	70	100	66	16	27	16	111	47	16	86	109	90	83	98	19	4	28	5	31	38	82	36	92	87	24	100	106	67	69	94	52	58	72	105	41	52	1	110	59	81	114	94	75	85	72	67	74	29	88	57	63	34	109	6	103	3	82	114	68	104	102	11	29	15	58	32	39	37	57	58	22	103	78	23	47	104	22	90	7	1	51	68	1	114	47	1	69	66	36	33	58	0	84	74	0	69	40	77	87	0	44	5	2	6	1	2	1	3	5	6	10	6	1	7	2	8	3	16	7	15	7	13	8	7	2	4	5	9	8	4	2	1	14	7	4	6	4	4	10	13	13	11	9	14	10	14	1	12	3	11	9	17	4	17	14	13	1	16	15	14	15	18	6	5	12	4	13	7	7	2	9	7	12	16	13	1	1	2	11	5	11	19	16	7	13	17	15	1	7	14	1	14	12	17	4	8	13	12	17	11	12	5	20	18	14	14	5	1	9	9	1	4	8	15	16	1	14
79500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.591834223177052	0.000167901249213	0.000040904488399	0.243622299360400	0.108945163375036	0.000000000000000	0.000000000000000	-1	-4	2	-1	-1	4	14	7	2	-1	-1	-4	4	6	11	0	3	4	5	9	8	0	-5	4	-1	9	17	15	-1	3	2	0	-2	-2	-3	1	16	7	3	-1	-1	7	-1	-3	18	-6	5	3	4	1	2	3	-1	7	9	8	-6	-3	6	-2	0	3	-2	4	3	-6	8	5	1	7	-1	2	3	3	-2	0	-1	6	-5	-6	2	14	2	-4	7	-1	14	-3	-4	9	-4	5	8	7	-3	-2	-5	-2	2	5	-2	1	-4	2	0	6	28	6	3	2	15	-6	1	2	28	3	29	13	31	0	90	0	101	97	49	73	25	64	99	62	59	28	54	47	71	32	3	9	13	23	62	49	111	103	41	10	85	103	14	66	6	6	38	16	87	91	96	82	50	53	12	62	63	69	15	60	68	37	72	45	69	56	99	43	98	4	66	80	38	102	25	54	38	78	93	47	94	84	81	9	90	80	57	110	36	62	33	58	53	25	17	26	37	95	72	9	5	83	34	7	108	89	14	112	17	116	110	6	49	20	41	74	0	110	73	0	31	102	108	83	0	47	5	5	3	1	5	1	12	4	4	11	8	12	10	7	11	9	16	11	15	3	13	6	9	4	9	10	7	13	1	7	4	14	4	10	1	3	8	7	13	3	14	11	14	10	14	10	12	8	2	1	17	4	17	14	8	13	16	15	14	15	18	9	9	9	2	13	13	10	5	9	9	7	16	13	8	9	8	12	5	9	19	1	11	5	17	15	15	11	14	12	14	12	17	5	10	12	7	17	1	12	4	20	18	12	14	14	1	10	10	1	2	8	8	16	1	9
80000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.510131117985028	0.000185677599659	0.000053434694297	0.287782125551313	0.113169293972138	0.000000000000000	0.000000000000000	1	5	2	1	10	9	12	0	-3	-1	-6	-1	2	9	0	8	7	3	3	-1	-1	2	-2	-2	3	0	3	4	0	-4	-1	-5	2	-1	-2	5	4	-1	4	-2	-1	2	-6	-5	3	12	1	1	17	-4	-5	-3	1	-4	-3	-1	19	7	5	-3	-4	-2	-1	-2	-1	10	3	-1	17	8	6	2	-4	-4	2	4	-2	1	4	2	-1	-4	8	12	0	5	1	-4	9	-5	6	12	3	-2	-6	9	3	17	9	-5	-2	5	-1	7	-1	28	-3	13	15	15	-1	-4	2	11	5	-1	38	83	88	0	100	0	62	19	79	81	46	56	72	99	19	32	109	46	85	7	39	84	13	107	116	11	77	3	102	19	39	111	111	95	4	34	8	95	51	26	37	63	38	108	43	4	33	91	107	19	34	72	93	85	55	110	92	8	102	57	23	35	66	48	31	109	26	54	72	100	30	109	6	97	88	31	59	10	51	29	38	114	113	61	112	98	3	110	96	49	39	31	32	42	36	102	4	6	22	77	94	101	28	22	104	106	0	110	24	0	75	32	102	68	0	36	1	2	2	1	1	1	12	8	5	2	5	7	1	11	4	5	16	10	15	9	13	8	9	10	14	10	5	11	10	11	4	14	7	9	9	13	1	4	9	6	14	6	14	12	11	12	9	2	13	10	17	16	17	14	10	13	16	15	14	15	18	1	12	4	1	11	3	14	11	3	9	4	16	8	5	11	3	5	6	5	19	6	9	10	17	15	15	4	14	12	14	12	17	9	10	4	7	17	1	13	8	20	18	14	14	14	1	7	6	1	14	2	12	16	1	9
80500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.480001417258848	0.000186539925302	0.000057736873702	0.309514832327676	0.123289750435233	0.000000000000000	0.000000000000000	1	2	4	1	2	8	0	-3	6	-1	9	-2	19	6	-3	1	1	6	-1	1	0	1	-3	2	-6	3	-4	1	-1	4	4	2	13	-1	15	-3	-2	1	-6	4	5	3	10	7	-4	-3	14	12	-6	6	-4	9	1	-3	-4	13	-4	-5	8	4	9	-5	-5	0	10	0	3	0	7	1	16	10	0	8	2	4	13	8	-2	9	2	-1	1	0	2	2	4	-1	7	-1	0	2	16	-5	1	-4	-3	-5	8	14	10	9	5	17	9	-2	0	-1	-4	4	5	-5	1	6	1	-5	53	3	8	0	101	0	89	56	38	109	68	53	92	81	112	35	29	11	60	52	40	84	66	7	99	2	101	19	98	3	75	90	68	78	87	46	42	69	105	37	92	61	115	99	11	79	69	113	30	38	41	18	76	70	57	92	116	53	39	40	55	98	22	41	24	21	100	111	81	29	33	83	55	116	36	76	57	8	14	106	19	58	97	90	58	29	55	80	78	83	75	115	25	57	23	74	44	15	42	102	38	45	62	6	81	111	0	28	78	0	38	115	111	47	0	24	3	3	3	1	7	1	10	10	6	3	1	5	1	11	7	11	16	7	15	5	4	4	4	12	14	4	5	1	8	10	11	14	7	1	9	13	12	9	6	1	14	14	10	14	7	8	9	7	14	7	17	16	17	14	11	13	16	12	2	15	18	13	9	6	8	4	11	14	11	3	2	6	16	6	7	10	4	15	4	5	19	4	6	9	17	15	15	4	9	9	14	2	17	6	1	13	5	17	4	13	3	20	18	9	6	14	1	9	14	1	6	11	1	16	1	10
81000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.501214681867877	0.000173405477492	0.000050947293635	0.293804407866254	0.115755166709451	0.000000000000000	0.000000000000000	-3	-4	3	2	0	6	4	-5	11	-1	-2	9	12	-2	-5	1	1	7	10	-4	-5	-4	4	-5	9	7	17	0	2	-2	-4	6	8	-2	2	-2	-4	1	-4	2	8	20	-4	-1	16	4	14	2	0	0	-1	7	1	3	-3	0	14	-4	2	6	0	10	11	0	-6	5	7	8	2	10	10	-3	0	3	1	8	3	2	13	0	-4	6	12	6	15	11	-6	4	-2	9	-4	4	18	2	9	4	9	7	-5	9	13	14	4	22	6	6	11	1	2	1	5	2	-3	6	8	4	1	24	59	0	55	0	100	53	17	19	78	97	65	14	4	50	16	96	1	51	82	60	1	103	53	34	45	51	111	80	34	99	116	75	114	108	79	29	91	3	12	90	83	67	4	106	97	100	37	34	95	55	65	25	52	20	77	82	1	17	31	37	41	53	114	18	94	37	31	88	72	107	77	26	30	5	10	26	41	85	85	6	54	94	67	44	42	82	80	8	20	103	93	113	12	80	20	61	22	89	18	51	1	24	71	116	0	9	74	0	14	75	45	59	0	95	2	6	2	1	5	1	10	9	7	8	2	9	12	11	12	11	16	7	4	1	2	2	11	2	3	14	4	13	4	5	2	14	11	4	9	13	13	8	12	4	14	7	3	14	11	12	8	12	6	14	17	16	17	14	7	11	16	6	11	15	18	13	4	1	2	8	2	14	13	1	14	10	16	1	5	6	10	15	12	2	19	7	8	10	17	15	15	14	7	8	8	8	4	2	6	4	5	17	9	12	8	20	18	15	4	11	1	5	14	1	14	9	11	16	1	10
81500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.576458313214538	0.000208230262492	0.000052209883382	0.250731487140425	0.124092004111467	0.000000000000000	0.000000000000000	3	4	4	-1	0	11	-2	6	-4	4	9	-4	-4	2	-6	11	-5	6	1	11	3	5	2	0	-6	-5	4	7	6	10	3	-3	-2	9	1	0	6	-6	8	7	-1	5	4	-6	-3	3	5	-5	-2	1	6	3	-3	-3	-4	0	-4	5	11	14	11	2	4	-1	1	3	-4	3	6	16	10	1	0	2	2	12	7	9	1	-3	-3	-4	-5	13	-5	-5	0	10	5	-3	3	12	25	-1	3	-6	1	-6	1	8	13	5	2	3	4	4	10	-2	-5	1	0	2	2	1	18	-2	40	110	68	0	44	0	17	75	12	86	61	35	31	97	25	88	39	84	37	80	5	25	38	23	74	68	88	88	21	68	39	39	113	110	71	98	59	52	116	100	75	70	43	48	46	40	9	23	90	101	73	55	30	110	90	22	64	35	112	103	92	80	72	47	26	87	44	32	55	8	81	62	6	46	35	67	33	91	30	33	75	42	96	70	60	22	6	43	65	62	31	86	93	113	75	5	107	112	104	84	22	45	22	83	21	26	0	40	105	0	107	1	100	6	0	32	2	3	4	1	1	1	6	1	6	11	8	12	2	5	12	11	16	6	8	7	2	10	1	2	6	14	1	13	6	9	6	14	10	5	8	13	2	3	12	5	10	12	4	14	11	7	2	11	5	9	17	16	17	14	2	6	16	13	4	15	18	13	6	1	3	3	5	14	13	14	14	8	16	10	7	3	3	15	9	2	19	8	11	1	17	15	3	12	8	13	10	5	4	2	1	11	8	19	8	1	8	20	18	12	10	5	1	10	14	1	14	1	6	13	1	6
82000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.476917099819246	0.000171986800329	0.000053657293930	0.311984953657250	0.111539932127351	0.000000000000000	0.000000000000000	-5	0	-3	0	11	0	-2	0	8	1	-3	-4	-1	-3	-6	3	0	10	0	1	-1	10	-6	6	-2	6	-6	7	-5	1	0	-5	1	1	-6	-6	0	-4	11	2	-1	4	-2	4	4	5	-4	4	-4	11	9	-5	5	-2	6	8	-3	-1	0	0	2	8	7	11	9	5	-1	3	0	-2	-1	3	0	-5	1	9	4	-2	5	12	0	8	2	-6	8	-4	-1	7	15	6	-6	4	16	1	19	-6	16	-4	14	-2	-6	9	6	-1	5	15	-1	10	10	14	3	-1	-3	9	5	7	104	91	7	0	76	0	10	100	111	107	83	50	106	51	92	35	114	4	106	106	1	85	112	44	66	40	92	107	92	53	8	95	49	59	62	26	77	64	33	73	103	73	11	114	70	84	6	67	75	96	39	31	62	33	108	1	73	19	69	25	5	77	74	67	111	81	106	104	70	13	104	106	18	72	66	80	76	100	46	24	101	76	46	91	17	49	87	46	69	10	16	12	93	42	11	59	87	49	109	4	94	58	18	104	87	65	0	2	25	0	18	41	65	60	0	54	5	3	1	1	1	1	10	4	7	7	10	12	2	9	12	9	16	6	8	7	6	6	3	7	6	14	1	9	9	7	15	14	10	1	4	13	2	2	12	6	1	13	10	14	10	1	14	8	9	8	17	16	17	4	3	9	16	7	4	15	18	13	8	2	12	3	12	7	4	5	14	2	16	10	10	1	10	15	9	1	19	3	11	2	17	15	5	4	9	12	11	9	4	6	3	1	8	19	12	9	10	20	18	7	10	11	1	5	14	1	14	14	7	13	1	9
82500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.516125285902132	0.000195924268290	0.000055623162565	0.283901341320253	0.123929263734174	0.000000000000000	0.000000000000000	-3	7	1	-1	-5	9	8	-1	8	-6	-6	13	6	1	-2	-2	-5	-5	7	16	0	10	11	-5	9	-1	-6	9	2	-5	2	7	-1	-4	13	-1	-3	-2	4	1	-2	18	11	2	15	12	-3	9	-3	4	-5	-1	-2	4	12	-4	-3	14	-1	10	-2	1	10	-3	-6	-1	2	-2	10	6	11	1	-3	17	-1	3	4	-6	9	-4	9	1	-1	-4	4	8	-4	5	5	2	13	4	22	10	0	-5	6	-4	2	3	-4	-6	14	-6	0	3	-3	3	12	-3	12	-5	7	5	19	6	72	99	27	0	100	0	5	107	115	31	37	109	108	12	35	17	59	17	47	71	82	20	10	47	102	25	34	106	44	10	39	37	5	96	56	114	105	109	115	1	35	27	26	18	52	17	114	18	53	105	34	45	90	69	29	18	9	20	85	74	102	27	92	85	38	57	47	104	14	114	58	76	5	31	7	13	64	110	4	116	58	56	29	18	105	104	8	78	76	23	92	82	93	102	71	55	52	21	80	97	30	90	67	1	83	2	0	12	24	0	26	112	72	15	0	53	1	4	4	1	5	1	5	5	1	5	1	4	3	1	12	3	16	7	11	10	10	4	3	4	1	13	7	1	1	12	15	4	13	1	7	12	10	15	1	5	5	14	9	14	3	5	14	12	15	12	17	16	17	12	2	3	16	9	2	15	18	9	11	2	8	2	5	4	11	6	14	10	16	7	1	2	7	12	1	6	19	11	11	6	17	12	1	5	8	18	11	1	4	2	11	9	9	19	6	12	10	20	18	11	4	11	1	1	1	1	14	14	4	13	1	4
83000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.593173023022610	0.000203548839098	0.000049467270029	0.243024083303823	0.108419524634160	0.000000000000000	0.000000000000000	-4	-1	-6	1	6	-2	11	2	5	0	7	13	9	5	-5	5	3	-6	6	10	10	5	1	-5	10	10	-2	1	-4	1	11	16	11	-2	2	11	-6	3	-4	4	2	-4	3	-1	14	4	-3	0	0	19	5	-3	11	6	-4	1	9	-4	-2	-2	9	0	13	1	-2	15	-4	10	-3	-3	4	1	2	3	7	9	6	6	5	0	-2	-2	4	13	-5	4	3	-2	1	-4	-2	4	11	5	0	0	13	8	9	-5	2	-5	-1	4	16	4	4	6	-1	22	-5	6	-6	3	18	1	88	29	28	0	94	0	102	69	36	23	40	45	20	104	42	95	100	61	110	53	103	12	4	38	110	53	2	26	107	97	22	60	42	111	76	17	94	88	98	84	95	6	31	88	72	75	77	80	84	101	75	58	114	96	35	3	83	50	56	22	24	42	32	50	9	26	2	23	54	115	40	23	21	18	70	23	100	28	93	102	108	102	75	26	9	3	10	91	40	49	115	100	79	61	68	54	100	4	81	62	11	70	40	70	71	110	0	21	69	0	21	60	83	66	0	2	1	4	5	1	6	1	4	9	6	3	10	1	1	7	1	9	16	3	11	10	10	5	4	11	8	2	1	10	11	6	15	5	1	5	8	2	13	15	10	8	2	14	9	14	4	5	9	12	15	5	17	16	17	12	1	12	16	12	4	16	18	2	1	8	3	8	12	13	2	5	14	14	16	10	4	7	6	5	3	8	19	11	3	2	17	8	1	2	6	18	11	2	4	10	6	10	7	19	12	12	1	20	18	3	2	11	1	9	9	1	14	1	7	13	1	10
